경찰청	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
고용노동부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
과학기술정보통신부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
교육부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
국가기술표준원	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
국립소방연구원	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
국립수산과학원	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
국립전파연구원	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
국립환경과학원	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
국방부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
국토교통부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
기후에너지환경부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
대법원	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
문화체육관광부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
법무부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
보건복지부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
산림청	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
소방청	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
식품의약품안전처	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
원자력안전위원회	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
조달청	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
중소벤처기업부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
질병관리청	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
해양수산부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
행정안전부	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
화학물질안전원	NNP	AGENCY_NAME	law_master.ministry_name:ground_truth
건설기계 안전기준에 관한 규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건설기계관리법	NNP	LAW_NAME	law_master.law_name:ground_truth
건설기계관리법 시행규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건설기계관리법 시행령	NNP	LAW_NAME	law_master.law_name:ground_truth
건설기술 진흥법	NNP	LAW_NAME	law_master.law_name:ground_truth
건설기술 진흥법 시행규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건설기술 진흥법 시행령	NNP	LAW_NAME	law_master.law_name:ground_truth
건설산업기본법	NNP	LAW_NAME	law_master.law_name:ground_truth
건설산업기본법 시행규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건설산업기본법 시행령	NNP	LAW_NAME	law_master.law_name:ground_truth
건설폐기물의 재활용촉진에 관한 법률	NNP	LAW_NAME	law_master.law_name:ground_truth
건설폐기물의 재활용촉진에 관한 법률 시행규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건설폐기물의 재활용촉진에 관한 법률 시행령	NNP	LAW_NAME	law_master.law_name:ground_truth
건축기본법	NNP	LAW_NAME	law_master.law_name:ground_truth
건축기본법 시행령	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물관리법	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물관리법 시행규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물관리법 시행령	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물대장의 기재 및 관리 등에 관한 규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물의 구조기준 등에 관한 규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물의 분양에 관한 법률	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물의 분양에 관한 법률 시행규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물의 분양에 관한 법률 시행령	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물의 설비기준 등에 관한 규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물의 피난ㆍ방화구조 등의 기준에 관한 규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건축물착공통계조사시행규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건축법	NNP	LAW_NAME	law_master.law_name:ground_truth
건축법 시행규칙	NNP	LAW_NAME	law_master.law_name:ground_truth
건축법 시행령	NNP	LAW_NAME	law_master.law_name:ground_truth
건축사법	NNP	LAW_NAME	law_master.law_name:ground_truth
