approval_id	review_key	source_key	project_kind	work_type	source_name	source_path	target_canonical_id	target_canonical_name	mapping_type	gpt_confidence_class	owner_decision	owner_reason	source_aggregate_sha
RISK-KOSHA-MAP-APPROVE-001	0226991e812ed2564ff7ebb412d5ae8745f79a9c87eee43e72324c8e46f135ac	5f95e1f68791e5dc47687829a2373a43772d56d0eadc87dc4adc6cd5a999a4eb	아파트	철골작업	철골 Deck Plate 설치	아파트 > 철골작업 > 철골 Deck Plate 설치	813be6a8-13c4-4c96-9c90-36bd04348fb5	바닥판깔기	NARROWER_THAN	HIGH	APPROVE	OWNER_APPROVED_DIRECT_SEMANTIC_MAPPING	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	076b18770d1abd24ec94df626218dd267895f2622df15f7c88f745a7c82fbb1e	5f42f02170a6d35a1da1d418fb421462b2abde0949ef7fc707e447cbed5ab861	교량 및 도로	PSC교량작업	PSC 교량 거더 운반	교량 및 도로 > PSC교량작업 > PSC 교량 거더 운반	2517aed8-23bc-4e23-a7c7-fcd8743847a7	PC부재운반	POSSIBLE_RELATED	MEDIUM	HOLD	OWNER_HELD_POSSIBLE_RELATED_FOR_FUTURE_REVIEW	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	0fc32650fd18a1111343dd4d6b5fbcd4ef3a7db9ee0eff941c5b3ce7ca6bdf3b	c4b70e8dc6758d004799ee4d2983759fd58654017e1b4b421d92d4d3f84f1190	교량 및 도로	발파작업	발파 장약	교량 및 도로 > 발파작업 > 발파 장약	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	NARROWER_THAN	HIGH	APPROVE	OWNER_APPROVED_DIRECT_SEMANTIC_MAPPING	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	0fc81a44983f02fb0813bf00f72b4c31c598c36acedba4574b7c0df4d295ccf9	7ba4615df684eedec1174aaffb61744175f7b00e40a48868a23026819b35a1fe	지하철	조경작업	조경부지정리	지하철 > 조경작업 > 조경부지정리	5bb130b1-f1ab-4cdb-86d8-9b0985bf9a81	일반부지정지	NARROWER_THAN	MEDIUM	APPROVE	OWNER_APPROVED_DIRECT_SEMANTIC_MAPPING	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	10edb9efefec11b29038479f8f8c093d4626b25b1feb6d09407b15c7973ba7ab	c31ba1c6c3445549b2f8c7d07b58a07b9c70c770b0feaee67a78a3bae8d622fb	아파트	발파작업	발파 화약고 관리	아파트 > 발파작업 > 발파 화약고 관리	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	POSSIBLE_RELATED	MEDIUM	HOLD	OWNER_HELD_POSSIBLE_RELATED_FOR_FUTURE_REVIEW	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	10f99393eababdf5b895e87eb0415e1d4e22afc51b51266c4a3ac6950b30f38d	00dbfaa40674ac08e63808ce67f5a096e61660f14dab5b31330f9fd992f91fd1	지하철	발파작업	발파 장약	지하철 > 발파작업 > 발파 장약	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	NARROWER_THAN	HIGH	APPROVE	OWNER_APPROVED_DIRECT_SEMANTIC_MAPPING	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	166e996febc82f5819036f19d1c507552a0e0e6b73495158d54519b23b604a80	94274fa793458606f074ff70206df203f1e2c916bae5a247372e8421e1bd9f32	터널	터널굴착작업	터널 장약	터널 > 터널굴착작업 > 터널 장약	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	NARROWER_THAN	HIGH	APPROVE	OWNER_APPROVED_DIRECT_SEMANTIC_MAPPING	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	1869231b6d45ebe5ddc6adb9d49ad485535e04cd4bb8601c69adaa9f41be4d39	f69625a34c19ff0a83728d54a04452cdb1b4b04fdf58da8ffc5d53eac4aceedb	터널	콘크리트작업	콘크리트양생	터널 > 콘크리트작업 > 콘크리트양생	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	EXACT_EQUIVALENT	HIGH	APPROVE	OWNER_APPROVED_DIRECT_SEMANTIC_MAPPING	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	18a00877ed7f38c56c92209b61ae684b090b637e8ce4371786d5a8e9f1d7a9bf	aa4c8b0134ef2667a2a95ae200c4ef3a04932e39129f7821c319b09612f15838	교량 및 도로	철근작업	철근가공 및 운반	교량 및 도로 > 철근작업 > 철근가공 및 운반	be965f09-464b-4d53-9be4-d72f44d3d1ee	철근가공및조립	POSSIBLE_RELATED	MEDIUM	HOLD	OWNER_HELD_POSSIBLE_RELATED_FOR_FUTURE_REVIEW	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
RISK-KOSHA-MAP-APPROVE-001	19170cbeb53e9827a7e402e2b9053772b6d31f5b2060e330ca5d36da2e0a5d14	af804b488a17b2ec4da7642d45e7ab537de018710aa6965d7d522287326d78da	교량 및 도로	발파작업	발파 천공	교량 및 도로 > 발파작업 > 발파 천공	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	NARROWER_THAN	HIGH	APPROVE	OWNER_APPROVED_DIRECT_SEMANTIC_MAPPING	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a
