materialization_id	owner_approval_id	review_key	source_id	source_key	canonical_id	canonical_name	mapping_type	mapping_status	mapping_method	gpt_confidence_class	owner_approval_binding_sha	candidate_sot_sha	production_verified
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	10f99393eababdf5b895e87eb0415e1d4e22afc51b51266c4a3ac6950b30f38d	KOSHA_CONSTRUCTION_PROCESS	00dbfaa40674ac08e63808ce67f5a096e61660f14dab5b31330f9fd992f91fd1	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	1e327a4a4abc0ed445a56ccefbb7188fd910dd4fb2c2dee34b50833abaf6917c	KOSHA_CONSTRUCTION_PROCESS	044cd69cac9e0eee8d561010be2296bdbf0163125f3e67ff40eaf8098bb83964	813be6a8-13c4-4c96-9c90-36bd04348fb5	바닥판깔기	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	7fa9680d3c7ee19eeab230fc3af038c7556b8625046d2bb4852703dfa69c9942	KOSHA_CONSTRUCTION_PROCESS	0620aa3261e75db6a1c3d87922764cc28204c2cb6e48deca3cbd847b267566d9	be965f09-464b-4d53-9be4-d72f44d3d1ee	철근가공및조립	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	373a7f4c559a9cacab452007ebc7fd3165d1bb92051e227ad76ab23a3d210645	KOSHA_CONSTRUCTION_PROCESS	0723febc423eebfd3a26864631c8b3e27fc13221ed6a7cecb3bf646eb3c4488c	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	3ee99a4f1bacf243fac3c50a69e1dc3dde94a33b1ce45cf0e702899f26df416c	KOSHA_CONSTRUCTION_PROCESS	117406f2e819009f2ddab47b1f76558bb8357a553b4fed9892d713cd51954a59	995ba818-1aac-4a5b-82cf-6e83ee485bbc	강교조립및설치	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	64d405677bff812bdd0dd6adc4adeab99eb772f2b4a65ee66d0cc502871a369d	KOSHA_CONSTRUCTION_PROCESS	18dd13b6ceb8f503f56e417710183abacead45d069088f51fb4568deeeb260bc	5bb130b1-f1ab-4cdb-86d8-9b0985bf9a81	일반부지정지	NARROWER_THAN	APPROVED	MANUAL_REVIEW	MEDIUM	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	a41cc96a883fec6378a14ed2ea86681f3b252f5aa8369eebf1e2dc9fc1dbd577	KOSHA_CONSTRUCTION_PROCESS	1a96feace5107425b59d1eef646378a1066f6f3b0a7632ce0a9e03683049c1d2	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	f7d56f58e49b5750a233b61544f079a11d1d38e1de0b5405d98790ba5bbd59e9	KOSHA_CONSTRUCTION_PROCESS	23769941c774a7d4773bce3cd71cfd680c94d371b831ad2087629f6c5caad7de	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	a811861cb4e940b2bcb9520baf188eb163b189542c523c3a22c68123e68b5776	KOSHA_CONSTRUCTION_PROCESS	26577e536beb035265d4252724aebd6fe842aecc139876c6c98cb6d154176afb	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	7640026dc0921bdf98f092d8c97859bee479d354977aeef0958b087d4f271b09	KOSHA_CONSTRUCTION_PROCESS	285e80db3db34518bb6e10df63cbca2627a0c74254de770bb1f63ced445d9165	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	dd67181cdb0cf48c19cd2751b1ab7ff02499b80a72dd5596ff89a7521122e628	KOSHA_CONSTRUCTION_PROCESS	356e247dc8ffcb04de5f66a0ea98e29b25e646b0f5ab6d9ce5f80f86ba6ad022	be965f09-464b-4d53-9be4-d72f44d3d1ee	철근가공및조립	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
RISK-KOSHA-MAP-MATERIALIZE-001	RISK-KOSHA-MAP-APPROVE-001	5c0e45143e5a61b513dbd8599311863f3a8437c6cb93e2d6ce9b27afe30e18da	KOSHA_CONSTRUCTION_PROCESS	380b8647bac56b0078f82cbccaa746fcdf8e1838757c86936e82d1309c7d696f	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	NARROWER_THAN	APPROVED	MANUAL_REVIEW	HIGH	3c2f0a0f3558a7e0fd7a0d801ed22d18ba3d7fbed3f86a3ca54aa022f2e87a91	4952310fafda56d620f10a53a4c4faa765c73338157e1992c6d690428e4f869a	YES
