review_key	source_key	project_kind	work_type	source_name	source_path	gpt_semantic_decision	gpt_target_canonical_id	gpt_target_canonical_name	gpt_mapping_type	gpt_reason	gpt_confidence_class	input_evidence_sha	canonical_reference_sha	review_authority	review_batch
000e418adaf022bd57d050fdee311f1660334293c1dddbca5755edd4746a134a	cb5606407d4712b93b42636b00cbe08d73a0942eef9871404d36b4035e0f133e	아파트	갱폼작업	갱폼 자재반입	아파트 > 갱폼작업 > 갱폼 자재반입	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
024db265b19bd9669d8b708dd9e65321e957ae599ee06e0056b82359712a407f	49b47a1f9cb0426343aaab25c94591530421ec9d26695d3b8996e182fbc0a8a6	아파트	부대토목작업	부대토목 구내포장	아파트 > 부대토목작업 > 부대토목 구내포장	AMBIGUOUS			AMBIGUOUS	GENERIC_SITE_PAVING_DOES_NOT_IDENTIFY_MATERIAL_OR_PAVING_METHOD	MEDIUM	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
094d0e19dc0b43d320c89b854d2568945cd9303d43a8c3a1add436ccf05ecb93	fb59516e87511b16b5358a328613fcce302cf67a1fc65627c09a2a8d56563b8d	아파트	방수작업	방수 면처리	아파트 > 방수작업 > 방수 면처리	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
10073d140dd7675ccd2e35679623bc7ce5df920de660ac448c67ca108699c908	67a5ae300a5be9ddbcaf1367b12b3ac240279cb0e428feaa25a2be155f7e2572	아파트	도장작업	실외도장	아파트 > 도장작업 > 실외도장	AMBIGUOUS			AMBIGUOUS	LOCATION_ONLY_PAINTING_LABEL_DOES_NOT_IDENTIFY_A_SINGLE_PAINTING_CANONICAL_TASK	MEDIUM	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
10394a373128cafdaf01a732b891cff0250be7a5d4d4132d06c39c9a6a8bf05a	4c6fc21e4b2c02321bad2aeefc9a04b010b119d2259438a62860e4d745845d46	아파트	거푸집작업	거푸집 자재반입	아파트 > 거푸집작업 > 거푸집 자재반입	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
10edb9efefec11b29038479f8f8c093d4626b25b1feb6d09407b15c7973ba7ab	c31ba1c6c3445549b2f8c7d07b58a07b9c70c770b0feaee67a78a3bae8d622fb	아파트	발파작업	발파 화약고 관리	아파트 > 발파작업 > 발파 화약고 관리	MAP_EXISTING_CANONICAL	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	POSSIBLE_RELATED	EXPLOSIVES_MAGAZINE_MANAGEMENT_SUPPORTS_BLASTING_BUT_IS_NOT_A_BLASTING_EXECUTION_TASK	MEDIUM	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
1124b3a6994e6998a4a415690ecd1ff4b702b8d95b0d0997fa584b14ccaeab02	538c52013b7c4cc06d4209279261fa7c61c53acca688a79aa48e8c3d20a3f185	아파트	맨홀 및 관부설작업	맨홀 및 관부설 굴착	아파트 > 맨홀 및 관부설작업 > 맨홀 및 관부설 굴착	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
12eaef9ac08a89b1c6f761995a6e3ff9b56872b67315e9c5f21b077dd86262d5	1be243ef9c1a86350d3f6a0013db41b7710a90c11246437e93d38db487dcc387	아파트	거푸집작업	거푸집 동바리 해체	아파트 > 거푸집작업 > 거푸집 동바리 해체	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
1c6f776694dbf4bd54b147a0df48309c20f81f940101897c0e52fe37245fa61c	7d12e8aeabfefb2d34e5bd4b1c0abe1c9c97053059c92a40091bf37e81e2e105	아파트	작업환경	작업환경 (조명)	아파트 > 작업환경 > 작업환경 (조명)	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
1fa812e710662dace7089a8d23e840f09e75dd1cdff5ac709e771abe6d4280ee	e1f84c8e7c24dac21a1685226b001daf072ae296f357b7aebf2312596111f9df	아파트	가설전기작업	분전반	아파트 > 가설전기작업 > 분전반	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	c44be9c0edac197b175e84a2647497747a636ad71b27dfaa8308492a4616014a	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B04
