review_key	source_key	project_kind	work_type	source_name	source_path	gpt_semantic_decision	gpt_target_canonical_id	gpt_target_canonical_name	gpt_mapping_type	gpt_reason	gpt_confidence_class	input_evidence_sha	canonical_reference_sha	review_authority	review_batch
00ba29d8b5a56808da3a62b3706804ebc7a428af29ab26588fcff588a68ff769	5ac8a449bfecc8a72fea9bf5090646c4d9d6e84f1b86c4763df591e9b9a10947	지하철	양중기작업	리프트	지하철 > 양중기작업 > 리프트	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
0226991e812ed2564ff7ebb412d5ae8745f79a9c87eee43e72324c8e46f135ac	5f95e1f68791e5dc47687829a2373a43772d56d0eadc87dc4adc6cd5a999a4eb	아파트	철골작업	철골 Deck Plate 설치	아파트 > 철골작업 > 철골 Deck Plate 설치	MAP_EXISTING_CANONICAL	813be6a8-13c4-4c96-9c90-36bd04348fb5	바닥판깔기	NARROWER_THAN	STEEL_DECK_PLATE_INSTALLATION_IS_A_CONTEXT_SPECIFIC_FORM_OF_CANONICAL_METAL_FLOOR_PLATE_LAYING	HIGH	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
0315e85d5fad3cafce4aafcc8d9f9f2cdac52d7f152270a60572798f121e5662	ce0838dc444681a356a5af5c6e90ba0848a7ccd970387dfc9a729fbfd63f46ca	지하철	굴착작업	굴착 토사반출	지하철 > 굴착작업 > 굴착 토사반출	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
041aa265bae3fb3d764d5d3f6a259cb6eb6c30c857100e4939ef8700484bc1b1	c1a1ed369a73ee5f2940d2dc00baf1eb1e9a21a913382433bfde87db733a657c	아파트	흙막이지보공작업	흙막이지보공 설치	아파트 > 흙막이지보공작업 > 흙막이지보공 설치	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
047790f2be6961773658c656b12d3ff630a40af3230351b04a8f0db09a42b067	1af0746c7900f7455ad264fa90e83cb76cfa8784b80275ad00eb25589ee45ec9	지하철	기초파일작업	기초파일 자재·장비반입	지하철 > 기초파일작업 > 기초파일 자재·장비반입	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
09b4cf59fad04b9ec50844c29d267e634253d4a238e476322c8cdf98dea0cc71	dcaea764b9d35409e620781b9b286f3bc8caa353ccadb5f4d64d995bbd71693a	지하철	가설전기작업	교류아크 용접기	지하철 > 가설전기작업 > 교류아크 용접기	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
0a43a20d2e38e02b5247d89cc046d897f08ce90daa211c86551a8c5502c4460e	4341fffa7b4b37cbbd157be146465b2867975fa9a69c8adbb1c4fd212cb7d989	지하철	양중기작업	이동식 크레인	지하철 > 양중기작업 > 이동식 크레인	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
0c9524a7d1ca5c14924fa6febaf106ce7e058fc5d2803ad54170ef6d86727e30	40f1df01d2a63507362f8a6ea21c8c8b22e22019e79eaf0ccddbdea7a276c332	지하철	석재 및 타일작업	석재 및 타일 자재반입	지하철 > 석재 및 타일작업 > 석재 및 타일 자재반입	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
0d9b3a885791c2e7982ce6ed8a399f802190e9b9d027da8296c7b25dbe4e00e5	2569dbe0963b9e27252dcc99b43db11b0b5264d2e53f46e496676e4506998884	지하철	거푸집작업	거푸집 동바리 조립	지하철 > 거푸집작업 > 거푸집 동바리 조립	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
10f99393eababdf5b895e87eb0415e1d4e22afc51b51266c4a3ac6950b30f38d	00dbfaa40674ac08e63808ce67f5a096e61660f14dab5b31330f9fd992f91fd1	지하철	발파작업	발파 장약	지하철 > 발파작업 > 발파 장약	MAP_EXISTING_CANONICAL	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	NARROWER_THAN	EXPLOSIVE_CHARGING_IS_A_SPECIFIC_SUBACTIVITY_OF_BLASTING	HIGH	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
15562444102d5e0aa674e490207d448459ec60f9442e74107536ae47a091f3ce	7afc3b785111405b19c4e007ed840d8b3609f41291a854d3d1c25596ca3f6c97	지하철	방수작업	방수 면처리	지하철 > 방수작업 > 방수 면처리	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
1a982742ac7548795c0e7d4fd0248e0826b64060d046d2d70484f237f440d829	9e435281cc4f3261b3c319b2aa077d5ae149a5cb6ba68e03db9310b2240a0345	지하철	위험기계기구작업	이동식 발전기	지하철 > 위험기계기구작업 > 이동식 발전기	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
1e0cb0d55b556ddf468e60647425b96f5ba3ed1b725b071be080f8da3b745b9e	317ec0d66fe02755e07468c9f83111a437668a53e638e44bcbfddb3c093b2d87	지하철	가설전기작업	이동석전기 기계기구	지하철 > 가설전기작업 > 이동석전기 기계기구	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	67a0a8a09af59772c61cad93af3b2dd3fcf818dfde794e972ea0c74fb0fc3ed0	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B05
