review_key	source_key	project_kind	work_type	source_name	source_path	gpt_semantic_decision	gpt_target_canonical_id	gpt_target_canonical_name	gpt_mapping_type	gpt_reason	gpt_confidence_class	input_evidence_sha	canonical_reference_sha	review_authority	review_batch	source_name_normalized	source_path_normalized	batch_no
0b3511adc033b38e803d8828d67423cadc20c8abb41ea1d7fb86f314ac84a183	a9883fcefdbe237836139b69b9924669e5b504663a218da56e68eb88cee25ad9	터널	발파작업	발파	터널 > 발파작업 > 발파	AMBIGUOUS			AMBIGUOUS	SAME_LEAF_NAME_BUT_SOURCE_CONTEXT_DOES_NOT_UNIQUELY_SELECT_AMONG_MULTIPLE_BLASTING_CANONICAL_TASKS	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	발파	터널 > 발파작업 > 발파	B01
173a4f89a90004758fabbf54225b93c066ed27e0216b216d8beb17f8e5b90fe0	901cb91207a35e91cdac2fd3bccf6583a48f7c073ed8dc79bca7f6fc698f4b7c	교량 및 도로	부대토목작업	부대토목 구내포장	교량 및 도로 > 부대토목작업 > 부대토목 구내포장	AMBIGUOUS			AMBIGUOUS	GENERIC_SITE_PAVING_DOES_NOT_IDENTIFY_MATERIAL_OR_PAVING_METHOD_AMONG_MULTIPLE_CANONICAL_TASKS	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	부대토목 구내포장	교량 및 도로 > 부대토목작업 > 부대토목 구내포장	B01
4afc9f0bd14a110076178fe1ed33727875d33d73f456b16d13ed8856aae8ddba	ed5fcfed0565a57a3b7a713b84aaf18daee31db3f70256b7712138f8a69e65b5	빌딩	발파작업	발파	빌딩 > 발파작업 > 발파	AMBIGUOUS			AMBIGUOUS	SAME_LEAF_NAME_BUT_SOURCE_CONTEXT_DOES_NOT_UNIQUELY_SELECT_AMONG_MULTIPLE_BLASTING_CANONICAL_TASKS	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	발파	빌딩 > 발파작업 > 발파	B01
655a83822127ff0a5f7fb0993e33700bf6475e247f12e8860d1579458daf59d9	3451e54a0b6243825471230c6a013af585c16a9aab44684f888540ca9c7c79cd	교량 및 도로	굴착작업	굴착	교량 및 도로 > 굴착작업 > 굴착	AMBIGUOUS			AMBIGUOUS	GENERIC_EXCAVATION_SOURCE_SPANS_MULTIPLE_SPECIFIC_CANONICAL_EXCAVATION_TASKS	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	굴착	교량 및 도로 > 굴착작업 > 굴착	B01
6a187926ce416c589f8b1562d189cdebef1eb35a16e0bf92437abe11d0a6dcee	d36d83795e5353c29c81c891bb876a6c6dc5adac64517cf9d52d636b89968400	교량 및 도로	PSC교량작업	PSC 교량 거더 인양 및 거치	교량 및 도로 > PSC교량작업 > PSC 교량 거더 인양 및 거치	AMBIGUOUS			AMBIGUOUS	PSC_GIRDER_LIFTING_AND_PLACEMENT_DOES_NOT_UNIQUELY_SELECT_A_CURRENT_PC_PSC_CANONICAL_TASK	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	PSC 교량 거더 인양 및 거치	교량 및 도로 > PSC교량작업 > PSC 교량 거더 인양 및 거치	B01
6b6bb1410f10cf5ebcf282621f6d8b7e95416aaf3860ca3a523e60b68f114c93	6fb1ed75c42513bf51b1b98f46c74b8a96aabedeba9a56b67deacefbc1aa7521	아파트	발파작업	발파	아파트 > 발파작업 > 발파	AMBIGUOUS			AMBIGUOUS	SAME_LEAF_NAME_BUT_SOURCE_CONTEXT_DOES_NOT_UNIQUELY_SELECT_AMONG_MULTIPLE_BLASTING_CANONICAL_TASKS	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	발파	아파트 > 발파작업 > 발파	B01
7056f50936ca59ea8e378d1b30bc9601fe12e47e9b88cd43481702d736be59d6	fc3f3dc1922de2b6290051e78475f59e83c5b5ca9c8f37756f2e873f696aa922	지하철	발파작업	발파	지하철 > 발파작업 > 발파	AMBIGUOUS			AMBIGUOUS	SAME_LEAF_NAME_BUT_SOURCE_CONTEXT_DOES_NOT_UNIQUELY_SELECT_AMONG_MULTIPLE_BLASTING_CANONICAL_TASKS	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	발파	지하철 > 발파작업 > 발파	B01
a54af625a8ebe288a9337b543506a126ed812d0b4fdd13ec1e371d4922137a23	5bca42b61bb9ff7076ad4dc7189329fd80e253af88f00e41fefae55ee87f7527	교량 및 도로	PSC교량작업	PSC 교량 슬라브 시공	교량 및 도로 > PSC교량작업 > PSC 교량 슬라브 시공	AMBIGUOUS			AMBIGUOUS	SLAB_CONSTRUCTION_COULD_MEAN_PC_ASSEMBLY_OR_CAST_IN_PLACE_WORK_AND_SOURCE_DOES_NOT_DISAMBIGUATE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	PSC 교량 슬라브 시공	교량 및 도로 > PSC교량작업 > PSC 교량 슬라브 시공	B01
aaab18b9b047077b430f20ae234bbd0e4f5279161d0c28138fdbd15253f57a19	db5892c1ba71a85ba1f8a739d3a4b3d227a7f303f1007ae15307825b33233d51	댐	발파작업	발파	댐 > 발파작업 > 발파	AMBIGUOUS			AMBIGUOUS	SAME_LEAF_NAME_BUT_SOURCE_CONTEXT_DOES_NOT_UNIQUELY_SELECT_AMONG_MULTIPLE_BLASTING_CANONICAL_TASKS	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	발파	댐 > 발파작업 > 발파	B01
cceac9d75bc459a3546ec4a5a1b6af48ddfac96440a03a42b78466f1aa5b0ee7	7ae6a94de7404f042d115235075024bae9fbfa9e98072428336607a3e6c10e07	교량 및 도로	PSC교량작업	PSC 교량 Cross Beam설치	교량 및 도로 > PSC교량작업 > PSC 교량 Cross Beam설치	AMBIGUOUS			AMBIGUOUS	PSC_MEMBER_INSTALLATION_HAS_MULTIPLE_PC_PSC_ASSEMBLY_CANONICAL_INTERPRETATIONS	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	PSC 교량 Cross Beam설치	교량 및 도로 > PSC교량작업 > PSC 교량 Cross Beam설치	B01
